City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,29,10.13,scattered clouds
1,Tutoia,BR,-2.7619,-42.2744,80.24,84,73,10.58,light rain
2,Severo-Kurilsk,RU,50.6789,156.125,32.5,62,68,22.59,broken clouds
3,Hammerfest,NO,70.6634,23.6821,18.05,67,44,5.75,scattered clouds
4,Bereda,ES,43.2686,-7.5406,47.95,100,82,5.77,broken clouds
5,Provideniya,RU,64.3833,-173.3,26.47,97,100,9.82,snow
6,Kavieng,PG,-2.5744,150.7967,83.05,79,100,7.87,moderate rain
7,Jamestown,US,42.097,-79.2353,38.52,74,90,5.01,overcast clouds
8,Busselton,AU,-33.65,115.3333,70.05,42,5,10.36,clear sky
9,Zinder,NE,13.8072,8.9881,70.39,19,36,10.51,scattered clouds
10,Souillac,MU,-20.5167,57.5167,77.38,78,40,6.91,scattered clouds
11,Cape Town,ZA,-33.9258,18.4232,61.88,91,90,1.99,moderate rain
12,Saldanha,ZA,-33.0117,17.9442,61.38,89,100,7.96,light rain
13,Yanam,IN,16.7333,82.2167,73.62,87,99,0.6,moderate rain
14,Richards Bay,ZA,-28.783,32.0377,72.91,98,100,7.02,heavy intensity rain
15,Mataura,NZ,-46.1927,168.8643,51.48,96,100,6.11,overcast clouds
16,Pisco,PE,-13.7,-76.2167,66.25,82,0,17.27,clear sky
17,Cabo San Lucas,MX,22.8909,-109.9124,80.91,68,1,3.0,clear sky
18,Dikson,RU,73.5069,80.5464,-18.8,99,100,13.76,overcast clouds
19,Teodoro Sampaio,BR,-22.5325,-52.1675,77.63,44,36,4.7,scattered clouds
20,Itatskiy,RU,56.07,89.0369,18.72,89,97,11.68,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,49.66,53,40,21.85,scattered clouds
22,Sinnamary,GF,5.3833,-52.95,77.9,88,91,9.4,light rain
23,Thompson,CA,55.7435,-97.8558,-5.64,77,75,5.75,light snow
24,Rikitea,PF,-23.1203,-134.9692,76.17,70,58,9.04,broken clouds
25,Robertsport,LR,6.7533,-11.3686,81.84,78,67,6.93,light rain
26,Bluff,NZ,-46.6,168.3333,51.8,88,100,15.75,moderate rain
27,Dudinka,RU,69.4058,86.1778,-30.39,99,94,6.46,overcast clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,69.12,89,74,5.84,broken clouds
29,Chokurdakh,RU,70.6333,147.9167,-40.36,100,59,2.39,broken clouds
30,Omsukchan,RU,62.5333,155.8,-33.25,95,20,4.18,few clouds
31,Hilo,US,19.7297,-155.09,71.26,96,90,0.0,light rain
32,Butaritari,KI,3.0707,172.7902,83.17,79,56,20.45,broken clouds
33,Nome,US,64.5011,-165.4064,12.27,85,90,6.91,mist
34,Kapaa,US,22.0752,-159.319,73.72,60,90,3.44,light rain
35,Marawi,PH,7.9986,124.2928,71.65,90,91,4.52,overcast clouds
36,Birjand,IR,32.8663,59.2211,30.67,86,0,6.91,clear sky
